Species	Public	Private	GenBank	BOLD public rbcL	BOLD public matK	GenBank rbcL	GenBank matK	Countries	List
Achillea ptarmica	2	14	1	2	0	1	0	1	France
Acorus calamus	4	30	37	4	0	17	22	9	Croatia;Estonia;France;Hungary;Lithuania;Netherlands;Slovakia;Slovenia;Switzerland
Aegopodium podagraria	9	11	2	8	8	1	1	1	Hungary
Aethusa cynapium	5	6	0	5	4	0	0	1	Hungary
Agrostis canina	6	12	2	6	3	0	2	1	France
Agrostis capillaris	11	12	6	11	10	1	5	1	Estonia
Agrostis curtisii	0	1	0	0	0	0	0	1	France
Agrostis gigantea	16	9	2	16	10	0	2	1	Estonia
Agrostis stolonifera	21	13	20	21	16	4	18	10	Austria;Croatia;Estonia;France;Hungary;Lithuania;Netherlands;Slovakia;Slovenia;Switzerland
Ajuga reptans	6	12	3	6	3	2	1	1	France
Aldrovanda vesiculosa	0	0	3	0	0	2	1	2	Hungary;Slovakia
Alisma gramineum	1	3	2	1	1	1	1	6	Austria;Estonia;Hungary;Netherlands;Slovakia;UK
Alisma lanceolatum	2	6	2	2	1	1	1	12	Austria;Croatia;Estonia;France;Hungary;Lithuania;Netherlands;Slovakia;Slovenia;Spain;Switzerland;UK
Alisma plantago-aquatica	4	6	4	4	4	2	2	12	Austria;Croatia;Estonia;France;Hungary;Lithuania;Netherlands;Slovakia;Slovenia;Spain;Switzerland;UK
Alnus glutinosa	7	12	10	7	2	6	4	1	Netherlands
Alopecurus aequalis	12	34	1	12	8	1	0	3	Austria;Hungary;Sweden
Alopecurus geniculatus	6	18	3	6	6	2	1	2	Hungary;Netherlands
Althaea officinalis	1	9	1	1	0	0	1	1	France
Althenia orientalis	0	0	0	0	0	0	0	1	Spain
Amaranthus retroflexus	6	16	3	6	3	2	1	1	France
Ambrosia artemisiifolia	12	10	10	9	9	6	4	1	France
Amorpha fruticosa	4	5	7	4	1	4	3	2	France;Hungary
Angelica palustris	0	0	0	0	0	0	0	1	Hungary
Angelica sylvestris	5	11	2	5	3	1	1	4	Estonia;France;Hungary;Switzerland
Anthriscus cerefolium	3	0	2	3	1	2	2	1	Hungary
Anthriscus sylvestris	10	11	5	10	6	3	2	1	Hungary
Apium graveolens	1	12	8	1	1	5	3	1	Spain
Apium repens	0	0	0	0	0	0	0	4	Croatia;France;Hungary;Spain
Aponogeton distachyos	1	1	0	1	1	0	0	1	UK
